"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 20 18:51:39 GMT 2021","Wed Jan 20 18:51:40 GMT 2021","597","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Jan 20 18:51:44 GMT 2021","Wed Jan 20 18:51:45 GMT 2021","1056","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Jan 20 18:51:39 GMT 2021","Wed Jan 20 18:51:39 GMT 2021","578","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Jan 20 18:51:45 GMT 2021","Wed Jan 20 18:51:47 GMT 2021","1367","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Jan 20 18:51:40 GMT 2021","Wed Jan 20 18:51:44 GMT 2021","4487","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Wed Jan 20 18:51:36 GMT 2021","Wed Jan 20 18:51:38 GMT 2021","1953","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
